N,threads,serial_ms,thread_ms
1000000,1,0.300002,0.300002
1000000,2,0.299978,0.300002
1000000,4,0.300002,0.399995
1000000,8,0.199986,0.500011
1000000,16,0.200009,0.799990
1000000,32,0.300002,1.300001
1000000,36,0.300002,1.399994
10000000,1,3.999996,6.300020
10000000,2,3.999996,6.299996
10000000,4,3.999996,6.399989
10000000,8,3.999996,6.599998
10000000,16,3.999996,6.999993
10000000,32,4.000020,7.799983
10000000,36,3.900003,8.000016
100000000,1,43.800020,71.999979
100000000,2,43.900013,71.899986
100000000,4,43.899989,72.099996
100000000,8,43.900013,72.299981
100000000,16,43.999982,73.000002
100000000,32,43.900013,73.699999
100000000,36,43.899989,74.200010
1000000000,1,445.499992,729.100013
1000000000,2,445.500016,729.799986
1000000000,4,445.499992,729.900002
1000000000,8,445.299983,730.400014
1000000000,16,445.400000,730.800009
1000000000,32,445.400000,731.900001
1000000000,36,445.400000,733.100009
